,domain,ate,ate_std,method
0,0,0.35330513718488604,0.22335208585155847,FreeTrack
1,1,0.32483512404620496,0.2015882358766052,FreeTrack
2,2,0.3737263563560308,0.2304000129743739,FreeTrack
3,3,0.4174907945741579,0.25919504781701563,FreeTrack
0,0,0.3649463158971699,0.22496803176016594,MotionTransformer
1,1,0.3921951145576674,0.2438055528772371,MotionTransformer
2,2,0.5716357887609274,0.35400437940478363,MotionTransformer
3,3,0.6523709318633598,0.39954166663598456,MotionTransformer
0,0,3.4990494075114165,2.085423120547696,L-IONet
1,1,3.066428632379502,1.7889879279696652,L-IONet
2,2,3.2319620975752517,1.8692928807874294,L-IONet
3,3,3.1824415331428004,1.8328896436739757,L-IONet
0,0,1.399214579158686,0.9124610474842046,RoNIN
1,1,1.1222905190310029,0.7347927039950437,RoNIN
2,2,1.1130065890720546,0.7138797577095863,RoNIN
3,3,0.960917783594402,0.6216236065051208,RoNIN
